file_name,tile_set_len,y_offset,x_offset
5edf487e-476c-4d70-88f3-3471edea074a,19,1,1
b0733360-48ba-4148-b168-b2b1af49508a,57,4,7
33eaa796-097e-475e-8e57-fe9ed652b194,44,1,1
a5a5c054-251c-4e3d-ae4b-0e651f6e70de,45,1,1
40b5160a-6613-417d-b638-f2c82ba80eb1,37,1,0
55e7fd7f-cb8d-49e8-ac4d-bb108e4e45da,40,1,5
001e0f17-5460-4d2d-bdbb-ed6a810a4cce,23,5,3
05903468-944f-4dc4-924f-fea60fa3c436,17,1,3
e871d99e-b0ee-4ac2-b915-dc3837223453,24,0,4
317a7f8a-80e7-44b9-8842-f6b9dfc9fc4e,59,1,3
34392694-ec65-41ad-a5d1-1a49d07e7293,21,1,5
88b3f4e0-a46a-4168-a31f-fa13f564e7c3,15,1,0
a021663c-6cde-48cc-b740-96aa7b0af093,25,1,1
280d926a-19d1-4c65-b6eb-f93581223736,17,1,0
e7d631c7-5e02-482c-ad8d-085ac8978aac,7,1,6
21ce9b2d-a79e-457e-90b5-222569d24ca2,12,1,2
9babe901-cd10-47a9-be41-31841e4ca0d1,43,1,7
16e45235-57e0-4fea-9258-1d7b34b2940a,38,1,7
313c81e9-6ef0-4dac-b00c-da2ed0a38267,43,1,5
9c44e8e1-6791-4f29-a564-4b2edb3970f9,27,1,6
a523a9f8-2f38-419e-83a8-f18a32c4091e,35,4,6
3c4fc954-3074-4b70-a222-3f3ded4b52f2,24,1,0
98b5ad82-2cff-4ac3-ad2e-86bd5f972c4d,16,1,7
bc8ec15d-3a96-44cf-af13-1bb81515be66,29,0,4
cefe805f-b138-4f09-b9d4-9f8610b94564,21,1,2
504b1431-ebe7-4a59-bacb-e2397d33ba1e,41,1,6
1ec84b6b-09c6-487d-b9ee-28cee1762939,49,1,0
cfaff716-17dc-4fb8-bc29-290299b90bec,20,1,7
b2050cbc-e7aa-426f-abcc-02cd41f91128,17,1,3
4632db4b-975d-4e23-910b-9ef5d2a3a3b8,51,1,0
69dc177d-153d-4db6-8d4a-d14906154c4d,38,1,1
7b3f7688-0bf9-4b33-b4e1-a01854c7ee0f,47,1,5
8e36d47b-e455-4678-a2d7-4e486c057634,30,1,0
cd479d28-ceeb-4f8e-958b-b1795bdb37bb,33,1,2
242ec7d6-0bc9-4689-9c57-4fc065167b09,26,1,3
c9ed9466-6351-4f7a-91be-7c7ca4a33a65,7,1,0
246e45f3-6c88-42d3-b691-b9924272a46f,37,1,3
1e7599b8-8842-48a1-b708-89acb2ee9d0d,20,1,4
f307ae6e-35fb-4ce2-8ba5-7126b839c884,38,0,0
0e220b5d-5fc3-4a77-b72e-15273fc4d076,30,1,0
48293e6f-ed60-440f-8eec-846de28aa9a7,27,1,4
6d9b1ec7-068f-4992-8086-a679d3f11caf,24,1,7
beaa21f9-4e7c-496a-8347-ace7e8b08fff,20,1,1
47a89388-5619-49e6-8cf9-da0cfe5d0e0e,37,1,0
fa0c6368-6dfb-4e49-a4aa-14015dd3e718,47,1,6
13e656a2-a732-447c-9f30-b3cb1692882e,42,1,0
42713e14-c9c5-463a-a3c7-0a7b28676e75,35,1,2
1c917c70-043c-4b74-b31f-d89ffd7aee35,54,1,0
379b9949-386e-4963-8845-e3b72c52bd29,31,7,4
f0efe053-9398-4b61-8acd-916d43431ddf,33,1,3
0165b168-5221-4950-8f61-e23f4887a374,38,1,4
3c26072d-bc48-4280-b208-651231260588,26,1,0
9ecae728-e1a2-48d7-b108-6af9d98f4452,64,5,6
